title,review,user_name
Does the job,"this phone is a camera beast,has a fastest processor A13 Bionic ,most colour accurate display, best haptics, beautiful & slim design its dammn great but only the con in this phone is the bettery life its not good believe me i have tested this phone with video, social media,and gaming but bettery life is the only this that takes this phone back.so if bettery life is your priority don't go for this. rest all good.READ MORE",siddhart  sharma
Perfect product!,Nice Product at this RangeREAD MORE,DIPANJAN CHATTERJEE
Terrific purchase,Awesome tiny size phone...impressedREAD MORE,shashank singh
Mind-blowing purchase,Though it took time more than expected for the delivery but 2 days before so thankyou flipkart. Wait was worth it and the phone is a supera deal at this price criteria for that status symbol Apple logo on you phone.READ MORE,Varun  Verma
Worth every penny,good jobREAD MORE,Flipkart Customer
Best in the market!,Thanku aaple & Flipkart ...excellent phoneREAD MORE,Nandkishor Landge
Worth every penny,"One of best , if you are ok with bezel and one hand form factor designREAD MORE",Ankush Mohanty
Excellent,Tremendous purchase and awesome device . First of all it’s as per the latest lifestyle like 2 sim option and in a pocket size at such a great price. I am very happy and satisfied.READ MORE,Anurag Yadav
Best in the market!,This is my first I-phone and I am really happy for switching android to iPhone.value for money..display is  awesome..specially u will love this product if u r used to with small display phones.READ MORE,Nikhil Kambli
Simply awesome,Super mobile in budjet mobileREAD MORE,venkata sumanth
Perfect product,Perfect Packing.  Impressive.  Only plastic was the layer protecting the Iphone SE.Perfect product.  Smooth start.  No issues.  I am writing this review after almost 10 days of using rhe iphone.  Its so good.  First time am using an Iphone.  Shifting from Android to Iphone was easy.READ MORE,Senthil Kumar
Terrific,First IPhone and Loved it Writing review after two weeks of usagePhone is amazing Camera is super.READ MORE,parthu
Perfect product!,"iPhone SE performance is best in ever as like every iphone, display colours, connectivity, smooth touch, sound quality etc but little disappointment with battery performance and screen/display size.READ MORE",Divyansh Singh
Worth every penny,Super compact fone for no nonsense users!!! Good speaker quality & super fast due to A13 buonic chip.READ MORE,Flipkart Customer
Does the job,Battery backup is very poorREAD MORE,ajay kumar seesala
Super!,"Wow, it is exactly want i wanted in iPhone, it has excellent design, fast processor, dual Sim, latest technology, and handy.Got 1 week before delivery from Flipkart.READ MORE",GAURAV  DWIVEDI
Fabulous!,"A great product from apple, nice performanceREAD MORE",stalin das
Mind-blowing purchase,"I just love this phone. This is my first iPhone and it is handy, fast and beautiful. This is great power in small package. It is working absolutely great.READ MORE",rohit saxena
